,training,test
0,0.7428571428571429,0.6507936507936508
1,0.7142857142857143,0.7936507936507936
2,0.7714285714285715,0.7936507936507936
3,0.75,0.6666666666666666
4,0.7357142857142858,0.7936507936507936
5,0.7428571428571429,0.746031746031746
6,0.7285714285714285,0.7777777777777778
7,0.7785714285714286,0.6984126984126984
8,0.7357142857142858,0.746031746031746
9,0.7428571428571429,0.7301587301587301
10,0.7,0.7142857142857143
11,0.7357142857142858,0.7936507936507936
12,0.7571428571428571,0.8253968253968254
13,0.7071428571428572,0.6825396825396826
14,0.7357142857142858,0.746031746031746
15,0.7357142857142858,0.7777777777777778
16,0.7571428571428571,0.7142857142857143
17,0.7571428571428571,0.8253968253968254
18,0.7714285714285715,0.6349206349206349
19,0.75,0.7936507936507936
20,0.7357142857142858,0.8412698412698413
21,0.7642857142857142,0.6825396825396826
22,0.7642857142857142,0.6349206349206349
23,0.7571428571428571,0.7301587301587301
24,0.7428571428571429,0.8253968253968254
25,0.7571428571428571,0.746031746031746
26,0.7285714285714285,0.7619047619047619
27,0.7428571428571429,0.7301587301587301
28,0.7714285714285715,0.6825396825396826
29,0.7285714285714285,0.7619047619047619
30,0.7214285714285714,0.7936507936507936
31,0.75,0.746031746031746
32,0.75,0.7619047619047619
33,0.7428571428571429,0.7619047619047619
34,0.7214285714285714,0.7777777777777778
35,0.7571428571428571,0.6825396825396826
36,0.7071428571428572,0.7619047619047619
37,0.75,0.6825396825396826
38,0.7571428571428571,0.7777777777777778
39,0.7928571428571428,0.8095238095238095
40,0.7214285714285714,0.6666666666666666
41,0.7214285714285714,0.746031746031746
42,0.75,0.8412698412698413
43,0.7142857142857143,0.8095238095238095
44,0.7357142857142858,0.7301587301587301
45,0.7857142857142857,0.6666666666666666
46,0.7642857142857142,0.6507936507936508
47,0.7857142857142857,0.6666666666666666
48,0.7357142857142858,0.8412698412698413
49,0.7785714285714286,0.746031746031746
