,training,test
0,0.5619834710743802,0.5454545454545454
1,0.5289256198347108,0.5517241379310345
2,0.5454545454545455,0.5
3,0.5833333333333334,0.5454545454545454
4,0.5365853658536586,0.2962962962962963
5,0.5920000000000001,0.5
6,0.5289256198347108,0.5517241379310345
7,0.56,0.5333333333333333
8,0.564516129032258,0.7096774193548387
9,0.5714285714285714,0.4827586206896552
10,0.5573770491803278,0.5625000000000001
11,0.576,0.5161290322580646
12,0.53781512605042,0.5454545454545454
13,0.6201550387596898,0.45714285714285713
14,0.5426356589147286,0.6250000000000001
15,0.5289256198347108,0.5625000000000001
16,0.5984251968503936,0.42424242424242425
17,0.5084745762711864,0.6666666666666666
18,0.5954198473282444,0.631578947368421
19,0.5454545454545455,0.5882352941176471
20,0.47058823529411764,0.7096774193548387
21,0.5901639344262295,0.43750000000000006
22,0.609375,0.5263157894736842
23,0.56,0.5161290322580646
24,0.47933884297520657,0.5517241379310345
25,0.5123966942148761,0.6
26,0.5454545454545455,0.606060606060606
27,0.5454545454545455,0.46153846153846156
28,0.6016260162601625,0.43750000000000006
29,0.5365853658536586,0.6451612903225806
30,0.5,0.7272727272727272
31,0.576,0.606060606060606
32,0.56,0.6250000000000001
33,0.5354330708661418,0.6875000000000001
34,0.5439999999999999,0.5517241379310345
35,0.6016260162601625,0.4848484848484848
36,0.5454545454545455,0.6250000000000001
37,0.5669291338582677,0.5405405405405405
38,0.5196850393700787,0.6666666666666667
39,0.4833333333333334,0.6666666666666667
40,0.546875,0.5142857142857143
41,0.5439999999999999,0.6875000000000001
42,0.5203252032520325,0.5517241379310345
43,0.4878048780487805,0.6896551724137931
44,0.5365853658536586,0.5161290322580646
45,0.5806451612903226,0.5
46,0.5967741935483871,0.45161290322580644
47,0.6356589147286822,0.16
48,0.532258064516129,0.5185185185185185
49,0.564516129032258,0.5454545454545454
