,training,test
0,0.6518518518518519,0.5555555555555556
1,0.6363636363636364,0.6206896551724137
2,0.5891472868217054,0.6666666666666666
3,0.603174603174603,0.6486486486486486
4,0.603174603174603,0.5806451612903226
5,0.631578947368421,0.5625000000000001
6,0.564516129032258,0.6666666666666667
7,0.6153846153846153,0.6
8,0.5691056910569106,0.6451612903225806
9,0.5901639344262295,0.3333333333333333
10,0.5984251968503936,0.5714285714285715
11,0.5873015873015873,0.5517241379310345
12,0.5891472868217054,0.6666666666666666
13,0.6515151515151515,0.4848484848484848
14,0.5737704918032787,0.6451612903225806
15,0.0,0.0
16,0.6065573770491803,0.5
17,0.559322033898305,0.6896551724137931
18,0.5984251968503936,0.6111111111111112
19,0.0,0.0
20,0.5483870967741936,0.6875000000000001
21,0.6101694915254237,0.5142857142857143
22,0.6201550387596898,0.5
23,0.6212121212121212,0.606060606060606
24,0.6212121212121212,0.5714285714285714
25,0.576,0.6666666666666667
26,0.5950413223140495,0.5333333333333333
27,0.5920000000000001,0.5714285714285714
28,0.6190476190476191,0.4848484848484848
29,0.4778761061946903,0.4444444444444444
30,0.576,0.6666666666666666
31,0.6141732283464566,0.5454545454545454
32,0.559322033898305,0.5333333333333333
33,0.5439999999999999,0.7058823529411765
34,0.5950413223140495,0.6
35,0.6153846153846153,0.5161290322580646
36,0.5873015873015873,0.7027027027027027
37,0.603174603174603,0.5294117647058824
38,0.6201550387596898,0.6875000000000001
39,0.5546218487394957,0.6206896551724137
40,0.6165413533834587,0.5517241379310345
41,0.5669291338582677,0.7272727272727272
42,0.6065573770491803,0.606060606060606
43,0.0,0.0
44,0.6222222222222222,0.6250000000000001
45,0.6567164179104478,0.5
46,0.6178861788617885,0.47058823529411764
47,0.5913043478260869,0.1739130434782609
48,0.6141732283464566,0.5714285714285714
49,0.6290322580645162,0.5161290322580646
