,training,test
0,0.7631578947368421,0.56
1,0.7183098591549296,0.6486486486486486
2,0.7746478873239437,0.6829268292682927
3,0.7445255474452556,0.6037735849056604
4,0.7412587412587412,0.6486486486486486
5,0.7567567567567569,0.6363636363636364
6,0.736111111111111,0.6666666666666666
7,0.7862068965517242,0.5957446808510638
8,0.7299270072992701,0.619047619047619
9,0.7313432835820896,0.5641025641025642
10,0.7042253521126761,0.5909090909090908
11,0.7175572519083969,0.6666666666666666
12,0.7671232876712328,0.717948717948718
13,0.7388535031847134,0.5833333333333334
14,0.7448275862068965,0.6666666666666667
15,0.7375886524822696,0.6666666666666666
16,0.7638888888888888,0.6086956521739131
17,0.7462686567164178,0.7555555555555556
18,0.7746478873239437,0.5490196078431373
19,0.7368421052631577,0.6666666666666666
20,0.725925925925926,0.7499999999999999
21,0.7555555555555555,0.5833333333333334
22,0.7692307692307693,0.5106382978723404
23,0.7605633802816902,0.6222222222222222
24,0.7534246575342466,0.6857142857142857
25,0.7638888888888888,0.6363636363636364
26,0.7246376811594202,0.6153846153846153
27,0.7391304347826085,0.5853658536585366
28,0.7611940298507462,0.5238095238095238
29,0.7164179104477612,0.6666666666666667
30,0.7346938775510204,0.711111111111111
31,0.7552447552447553,0.619047619047619
32,0.7552447552447553,0.6511627906976745
33,0.7352941176470589,0.6511627906976745
34,0.7153284671532848,0.631578947368421
35,0.7638888888888888,0.6
36,0.7007299270072992,0.6666666666666667
37,0.748201438848921,0.5454545454545455
38,0.75,0.6956521739130435
39,0.7819548872180451,0.7142857142857143
40,0.7272727272727273,0.5333333333333333
41,0.7194244604316546,0.619047619047619
42,0.7741935483870968,0.7499999999999999
43,0.7183098591549296,0.6666666666666666
44,0.7375886524822696,0.5853658536585366
45,0.7887323943661971,0.5116279069767442
46,0.7692307692307693,0.5217391304347826
47,0.7887323943661971,0.5116279069767442
48,0.7375886524822696,0.7368421052631577
49,0.7703703703703704,0.6521739130434783
