,training,test
0,0.75,0.5098039215686274
1,0.7005076142131981,0.4799999999999999
2,0.7692307692307693,0.7142857142857143
3,0.7483870967741937,0.6181818181818182
4,0.7310344827586207,0.65
5,0.7483870967741937,0.6382978723404256
6,0.7341772151898734,0.5862068965517241
7,0.7757575757575758,0.5423728813559323
8,0.7292817679558011,0.5396825396825397
9,0.7571428571428571,0.5128205128205129
10,0.706766917293233,0.5945945945945946
11,0.7721518987341771,0.6181818181818182
12,0.7724137931034483,0.717948717948718
13,0.7571428571428571,0.6222222222222222
14,0.7432432432432433,0.64
15,0.7375886524822696,0.6363636363636364
16,0.7310344827586207,0.5777777777777777
17,0.7228915662650602,0.6206896551724138
18,0.7974683544303798,0.5454545454545455
19,0.8082191780821917,0.6521739130434783
20,0.7333333333333334,0.6666666666666667
21,0.7555555555555555,0.5957446808510638
22,0.7792207792207793,0.4814814814814815
23,0.7659574468085106,0.6046511627906976
24,0.7464788732394366,0.7222222222222222
25,0.751592356687898,0.6
26,0.7058823529411765,0.625
27,0.7724137931034483,0.6
28,0.7528089887640449,0.5
29,0.7647058823529412,0.6666666666666666
30,0.7397260273972601,0.7391304347826088
31,0.744186046511628,0.6111111111111112
32,0.7200000000000001,0.6666666666666666
33,0.7571428571428571,0.6222222222222222
34,0.7407407407407407,0.64
35,0.7786259541984734,0.65
36,0.732394366197183,0.6086956521739131
37,0.7571428571428571,0.5454545454545455
38,0.7285714285714285,0.711111111111111
39,0.7657142857142856,0.5396825396825397
40,0.7599999999999999,0.5957446808510638
41,0.7552447552447553,0.6818181818181818
42,0.7455621301775148,0.6122448979591837
43,0.7252747252747254,0.5806451612903226
44,0.75,0.5909090909090908
45,0.7682926829268293,0.5660377358490566
46,0.7425149700598801,0.5263157894736842
47,0.7745664739884393,0.5161290322580644
48,0.7586206896551724,0.7567567567567567
49,0.8,0.6666666666666667
