,training,test
0,0.7071428571428572,0.6984126984126984
1,0.7928571428571428,0.7301587301587301
2,0.6714285714285714,0.746031746031746
3,0.7428571428571429,0.7301587301587301
4,0.7928571428571428,0.7777777777777778
5,0.8,0.6825396825396826
6,0.7714285714285715,0.7777777777777778
7,0.7285714285714285,0.7142857142857143
8,0.7214285714285714,0.746031746031746
9,0.7928571428571428,0.7301587301587301
10,0.6857142857142857,0.7619047619047619
11,0.7714285714285715,0.6666666666666666
12,0.7928571428571428,0.7777777777777778
13,0.7857142857142857,0.746031746031746
14,0.7857142857142857,0.6666666666666666
15,0.75,0.7777777777777778
16,0.7714285714285715,0.7619047619047619
17,0.7928571428571428,0.7777777777777778
18,0.9,0.6507936507936508
19,0.8142857142857143,0.6984126984126984
20,0.7214285714285714,0.8253968253968254
21,0.7642857142857142,0.7301587301587301
22,0.7928571428571428,0.6666666666666666
23,0.8142857142857143,0.7619047619047619
24,0.7785714285714286,0.8253968253968254
25,0.75,0.7142857142857143
26,0.7928571428571428,0.746031746031746
27,0.7642857142857142,0.7777777777777778
28,0.8,0.6349206349206349
29,0.7714285714285715,0.746031746031746
30,0.7285714285714285,0.8253968253968254
31,0.7857142857142857,0.7301587301587301
32,0.6785714285714286,0.6825396825396826
33,0.7928571428571428,0.7301587301587301
34,0.7928571428571428,0.7619047619047619
35,0.8357142857142857,0.746031746031746
36,0.7714285714285715,0.746031746031746
37,0.7357142857142858,0.7301587301587301
38,0.7928571428571428,0.746031746031746
39,0.8214285714285714,0.8095238095238095
40,0.7714285714285715,0.6666666666666666
41,0.7714285714285715,0.7936507936507936
42,0.8142857142857143,0.7936507936507936
43,0.7642857142857142,0.7301587301587301
44,0.7928571428571428,0.746031746031746
45,0.8142857142857143,0.7142857142857143
46,0.75,0.6825396825396826
47,0.8214285714285714,0.6349206349206349
48,0.7285714285714285,0.8253968253968254
49,0.7785714285714286,0.746031746031746
