,Variance Inflation Factor(VIF)
AD_NIH,1.04
AS_TS_MCA,2.77
DG_SEX,1.71
RF_AH,2.80
RF_DM,1.39
RF_HC,1.57
RF_SM,1.69
DG_AG,1.28
AT_ST,1.04
RF_SM_F,1.65
CH,1.54
