,training,test
0,0.6466165413533834,0.6976744186046512
1,0.2093023255813954,0.0
2,0.4313725490196078,0.3448275862068966
3,0.0,0.0
4,0.3655913978494624,0.2857142857142857
5,0.1111111111111111,0.23076923076923078
6,0.6451612903225806,0.4864864864864865
7,0.3529411764705882,0.36363636363636365
8,0.6785714285714287,0.5538461538461539
9,0.275,0.07692307692307691
10,0.5178571428571428,0.4571428571428571
11,0.6853932584269663,0.46376811594202894
12,0.696969696969697,0.48
13,0.6823529411764706,0.5714285714285714
14,0.6153846153846154,0.5581395348837209
15,0.028571428571428574,0.19354838709677416
16,0.6615384615384615,0.6101694915254238
17,0.5309734513274337,0.36363636363636365
18,0.6341463414634146,0.5641025641025642
19,0.6141732283464567,0.5957446808510638
20,0.0,0.0
21,0.624,0.5714285714285715
22,0.6620689655172415,0.4727272727272727
23,0.6065573770491803,0.6
24,0.6794871794871794,0.5964912280701754
25,0.43809523809523804,0.6111111111111112
26,0.08571428571428572,0.0
27,0.41666666666666663,0.2
28,0.6451612903225807,0.41509433962264153
29,0.23076923076923078,0.29629629629629634
30,0.676470588235294,0.5098039215686274
31,0.5949367088607593,0.4
32,0.6962962962962962,0.5454545454545454
33,0.0,0.0
34,0.3409090909090909,0.21428571428571427
35,0.5984251968503937,0.6086956521739131
36,0.05633802816901409,0.0
37,0.0,0.0
38,0.6569343065693432,0.5490196078431373
39,0.2619047619047619,0.26666666666666666
40,0.5321100917431193,0.5128205128205128
41,0.0,0.0
42,0.45098039215686275,0.5
43,0.6511627906976745,0.5128205128205128
44,0.6711409395973156,0.5416666666666667
45,0.676470588235294,0.631578947368421
46,0.0,0.0
47,0.3058823529411765,0.08333333333333333
48,0.656934306569343,0.6122448979591837
49,0.634920634920635,0.4878048780487805
