,training,test
0,0.833089657123992,0.7848575712143928
1,0.8532283167476301,0.691904047976012
2,0.8132339763241051,0.8718140929535232
3,0.8184219214262133,0.8703148425787106
4,0.8403056171296515,0.7938530734632683
5,0.8005942555298778,0.889055472263868
6,0.8302598688864784,0.828335832083958
7,0.8366740555581758,0.7713643178410795
8,0.8331368202612839,0.8174662668665668
9,0.8253549026081215,0.8118440779610194
10,0.8478517190963544,0.7646176911544228
11,0.8410602273263218,0.7623688155922039
12,0.8333726359477434,0.7916041979010494
13,0.8308729896712729,0.8125937031484258
14,0.8288921379050135,0.7923538230884557
15,0.8233268877045702,0.8343328335832083
16,0.8178088006414187,0.8785607196401799
17,0.8282318539829269,0.8163418290854572
18,0.8258265339810403,0.8095952023988007
19,0.8082818469084564,0.9152923538230884
20,0.8225722775078997,0.7923538230884558
21,0.8340329198698297,0.7991004497751124
22,0.8398811488940244,0.7376311844077961
23,0.8143187284818186,0.8568215892053972
24,0.8099797198509645,0.896551724137931
25,0.826015186530208,0.8073463268365817
26,0.8324293732019054,0.8073463268365817
27,0.857661651653068,0.6424287856071964
28,0.8341036645757676,0.7803598200899551
29,0.8059236900438617,0.8913043478260869
30,0.8078573786728294,0.7316341829085456
31,0.8182332688770457,0.8605697151424287
32,0.8154034806395322,0.808095952023988
33,0.8118190822053483,0.9122938530734633
34,0.8360609347733812,0.790104947526237
35,0.8151676649530727,0.8118440779610194
36,0.8352591614394189,0.7796101949025487
37,0.8273829175116728,0.8073463268365817
38,0.8299297269254351,0.810344827586207
39,0.8128802527944159,0.8695652173913043
40,0.8433240579163326,0.709895052473763
41,0.8136112814224402,0.8605697151424287
42,0.8122435504409753,0.8605697151424287
43,0.8297882375135595,0.787856071964018
44,0.8293166061406405,0.7934782608695652
45,0.8204027731924727,0.868815592203898
46,0.8373815026175542,0.7541229385307346
47,0.8180917794651701,0.8643178410794602
48,0.8385134179125595,0.7443778110944528
49,0.8419091637975759,0.7687406296851573
