,training,test
0,0.6772486772486772,0.5384615384615384
1,0.702439024390244,0.5
2,0.6702702702702702,0.6829268292682927
3,0.6421052631578948,0.7169811320754716
4,0.5696202531645569,0.6250000000000001
5,0.6596858638743455,0.6999999999999998
6,0.6774193548387097,0.6666666666666667
7,0.6990291262135923,0.5396825396825397
8,0.6767676767676768,0.6
9,0.6417112299465241,0.6538461538461539
10,0.6883720930232557,0.5964912280701754
11,0.7064676616915423,0.5263157894736842
12,0.6808510638297872,0.5490196078431373
13,0.6802030456852791,0.6333333333333333
14,0.700507614213198,0.5925925925925926
15,0.6735751295336787,0.5283018867924527
16,0.6735751295336787,0.6000000000000001
17,0.6021505376344086,0.5185185185185185
18,0.5034013605442177,0.5454545454545454
19,0.627027027027027,0.7307692307692308
20,0.6862745098039215,0.6206896551724138
21,0.6632124352331606,0.6428571428571429
22,0.6733668341708543,0.5423728813559322
23,0.6562499999999999,0.6181818181818182
24,0.649746192893401,0.6785714285714286
25,0.7,0.6071428571428571
26,0.6903553299492386,0.5384615384615384
27,0.6961325966850829,0.4727272727272727
28,0.7070707070707072,0.5714285714285714
29,0.6120218579234973,0.6909090909090908
30,0.6907216494845362,0.5762711864406781
31,0.6600985221674877,0.6923076923076923
32,0.6806282722513088,0.6440677966101694
33,0.6629834254143646,0.6461538461538461
34,0.6875,0.5762711864406781
35,0.5750000000000001,0.5714285714285715
36,0.5824175824175825,0.4230769230769231
37,0.5433526011560694,0.4444444444444444
38,0.6813186813186813,0.6274509803921569
39,0.6133333333333333,0.5915492957746479
40,0.7243243243243243,0.4999999999999999
41,0.6737967914438503,0.6440677966101694
42,0.6938775510204082,0.6153846153846153
43,0.6055045871559632,0.5588235294117647
44,0.6968325791855203,0.5396825396825397
45,0.689655172413793,0.6461538461538461
46,0.6666666666666665,0.6037735849056605
47,0.67,0.6000000000000001
48,0.6893203883495146,0.5333333333333333
49,0.6818181818181818,0.5882352941176471
