,training,test
0,0.728395061728395,0.5
1,0.6463414634146343,0.4210526315789474
2,0.5641025641025641,0.6470588235294118
3,0.5732484076433121,0.5945945945945946
4,0.6211180124223603,0.5853658536585366
5,0.5655172413793104,0.5641025641025642
6,0.6993865030674847,0.2857142857142857
7,0.6956521739130435,0.5454545454545454
8,0.5859872611464968,0.6666666666666666
9,0.5142857142857142,0.41025641025641024
10,0.6163522012578616,0.5263157894736841
11,0.6211180124223603,0.4
12,0.6163522012578616,0.4864864864864865
13,0.6000000000000001,0.5116279069767442
14,0.2545454545454546,0.2857142857142857
15,0.5675675675675675,0.4
16,0.5838509316770187,0.6341463414634146
17,0.6341463414634146,0.48484848484848486
18,0.7134502923976608,0.5531914893617021
19,0.6623376623376623,0.5641025641025642
20,0.5733333333333333,0.25806451612903225
21,0.625,0.5853658536585366
22,0.54421768707483,0.3333333333333333
23,0.5605095541401274,0.6315789473684211
24,0.5853658536585367,0.6046511627906976
25,0.6586826347305389,0.5714285714285715
26,0.6193548387096776,0.5128205128205128
27,0.690909090909091,0.20512820512820512
28,0.6153846153846154,0.41025641025641024
29,0.6322580645161291,0.6511627906976744
30,0.6335403726708075,0.42424242424242425
31,0.5838509316770187,0.37500000000000006
32,0.7484662576687117,0.4444444444444444
33,0.5641025641025641,0.75
34,0.6163522012578616,0.5263157894736841
35,0.37795275590551175,0.3870967741935483
36,0.7176470588235294,0.5263157894736841
37,0.6233766233766234,0.4324324324324324
38,0.6586826347305389,0.45
39,0.5035971223021583,0.5581395348837209
40,0.686046511627907,0.4545454545454545
41,0.3875968992248062,0.48484848484848486
42,0.5562913907284769,0.5555555555555555
43,0.6867469879518072,0.47368421052631576
44,0.620253164556962,0.47368421052631576
45,0.581081081081081,0.6
46,0.6049382716049383,0.5333333333333332
47,0.6745562130177514,0.45
48,0.5277777777777778,0.5853658536585366
49,0.5859872611464968,0.3783783783783784
