,training,test
0,0.7071428571428572,0.5714285714285714
1,0.6714285714285714,0.7777777777777778
2,0.7714285714285715,0.7936507936507936
3,0.7571428571428571,0.6507936507936508
4,0.5928571428571429,0.746031746031746
5,0.7142857142857143,0.746031746031746
6,0.7571428571428571,0.7619047619047619
7,0.7642857142857142,0.6984126984126984
8,0.7142857142857143,0.7301587301587301
9,0.7571428571428571,0.7301587301587301
10,0.7,0.7301587301587301
11,0.7642857142857142,0.7301587301587301
12,0.7,0.7936507936507936
13,0.7071428571428572,0.6666666666666666
14,0.7571428571428571,0.7142857142857143
15,0.5571428571428572,0.7301587301587301
16,0.7071428571428572,0.6984126984126984
17,0.5571428571428572,0.6666666666666666
18,0.7642857142857142,0.6507936507936508
19,0.7357142857142858,0.7777777777777778
20,0.7285714285714285,0.8412698412698413
21,0.7571428571428571,0.6825396825396826
22,0.7428571428571429,0.6507936507936508
23,0.7642857142857142,0.7777777777777778
24,0.7571428571428571,0.7936507936507936
25,0.7428571428571429,0.746031746031746
26,0.6928571428571428,0.7777777777777778
27,0.7428571428571429,0.7301587301587301
28,0.7714285714285715,0.6031746031746031
29,0.7285714285714285,0.5714285714285714
30,0.7214285714285714,0.7936507936507936
31,0.65,0.6666666666666666
32,0.7,0.7777777777777778
33,0.7714285714285715,0.6984126984126984
34,0.6357142857142857,0.6349206349206349
35,0.7642857142857142,0.5873015873015873
36,0.7142857142857143,0.6666666666666666
37,0.7428571428571429,0.6825396825396826
38,0.75,0.7936507936507936
39,0.8,0.7777777777777778
40,0.7214285714285714,0.7142857142857143
41,0.7142857142857143,0.7777777777777778
42,0.7428571428571429,0.7936507936507936
43,0.7285714285714285,0.7619047619047619
44,0.7642857142857142,0.746031746031746
45,0.7785714285714286,0.6825396825396826
46,0.8071428571428572,0.6190476190476191
47,0.7928571428571428,0.6666666666666666
48,0.7285714285714285,0.8412698412698413
49,0.7857142857142857,0.6666666666666666
