,training,test
0,0.7285714285714285,0.6031746031746031
1,0.5785714285714286,0.38095238095238093
2,0.7642857142857142,0.8095238095238095
3,0.7214285714285714,0.6666666666666666
4,0.7214285714285714,0.7777777777777778
5,0.7214285714285714,0.7301587301587301
6,0.7,0.6190476190476191
7,0.7357142857142858,0.5714285714285714
8,0.65,0.5396825396825397
9,0.7571428571428571,0.6984126984126984
10,0.7214285714285714,0.7619047619047619
11,0.7428571428571429,0.6666666666666666
12,0.7642857142857142,0.8253968253968254
13,0.7571428571428571,0.7301587301587301
14,0.7285714285714285,0.7142857142857143
15,0.7357142857142858,0.746031746031746
16,0.7214285714285714,0.6984126984126984
17,0.6714285714285714,0.6507936507936508
18,0.7714285714285715,0.6031746031746031
19,0.8,0.746031746031746
20,0.7142857142857143,0.746031746031746
21,0.7642857142857142,0.6984126984126984
22,0.7571428571428571,0.5555555555555556
23,0.7642857142857142,0.7301587301587301
24,0.7428571428571429,0.8412698412698413
25,0.7214285714285714,0.6825396825396826
26,0.6785714285714286,0.7142857142857143
27,0.7642857142857142,0.6825396825396826
28,0.6857142857142857,0.49206349206349204
29,0.7714285714285715,0.7777777777777778
30,0.7285714285714285,0.8095238095238095
31,0.7642857142857142,0.7777777777777778
32,0.75,0.7936507936507936
33,0.7571428571428571,0.7301587301587301
34,0.7,0.7142857142857143
35,0.7928571428571428,0.7777777777777778
36,0.7285714285714285,0.7142857142857143
37,0.7571428571428571,0.6825396825396826
38,0.7285714285714285,0.7936507936507936
39,0.7071428571428572,0.5396825396825397
40,0.7428571428571429,0.6984126984126984
41,0.75,0.7777777777777778
42,0.6928571428571428,0.6984126984126984
43,0.6428571428571429,0.5873015873015873
44,0.7428571428571429,0.7142857142857143
45,0.7285714285714285,0.6349206349206349
46,0.6928571428571428,0.5714285714285714
47,0.7214285714285714,0.5238095238095238
48,0.75,0.8571428571428571
49,0.8071428571428572,0.7619047619047619
