,training,test
0,0.7428571428571429,0.6349206349206349
1,0.7857142857142857,0.7619047619047619
2,0.7714285714285715,0.7936507936507936
3,0.7571428571428571,0.746031746031746
4,0.75,0.7777777777777778
5,0.7214285714285714,0.6825396825396826
6,0.7214285714285714,0.873015873015873
7,0.7714285714285715,0.7142857142857143
8,0.75,0.7619047619047619
9,0.7357142857142858,0.6825396825396826
10,0.6785714285714286,0.746031746031746
11,0.7928571428571428,0.7936507936507936
12,0.7642857142857142,0.8253968253968254
13,0.7642857142857142,0.6507936507936508
14,0.7428571428571429,0.7301587301587301
15,0.7357142857142858,0.7619047619047619
16,0.75,0.7301587301587301
17,0.7571428571428571,0.8253968253968254
18,0.7857142857142857,0.6507936507936508
19,0.7428571428571429,0.7619047619047619
20,0.7428571428571429,0.8412698412698413
21,0.7785714285714286,0.7142857142857143
22,0.7928571428571428,0.6666666666666666
23,0.7714285714285715,0.7301587301587301
24,0.7357142857142858,0.8253968253968254
25,0.7571428571428571,0.7777777777777778
26,0.7285714285714285,0.7936507936507936
27,0.7785714285714286,0.7619047619047619
28,0.8,0.6984126984126984
29,0.7285714285714285,0.7619047619047619
30,0.7214285714285714,0.7777777777777778
31,0.7642857142857142,0.7301587301587301
32,0.7357142857142858,0.8095238095238095
33,0.7642857142857142,0.7619047619047619
34,0.75,0.8412698412698413
35,0.7785714285714286,0.7142857142857143
36,0.7571428571428571,0.8095238095238095
37,0.7571428571428571,0.6825396825396826
38,0.7642857142857142,0.7936507936507936
39,0.7857142857142857,0.7777777777777778
40,0.7428571428571429,0.6825396825396826
41,0.7642857142857142,0.7619047619047619
42,0.7571428571428571,0.8253968253968254
43,0.7428571428571429,0.746031746031746
44,0.75,0.746031746031746
45,0.8,0.7777777777777778
46,0.7928571428571428,0.6507936507936508
47,0.8357142857142857,0.6825396825396826
48,0.7428571428571429,0.8253968253968254
49,0.7785714285714286,0.7301587301587301
